source (en_US),translation (nl)
"<b>Request Report</b>
 To generate report for a specific <b>Driver Group</b>, navigate to <b>Dashboard</b>
 <b></b>and tap the Menu icon.",
"Tap <b>Group</b> and select
 the <b>Driver Group</b> from the list.",
Tap the back arrow to return to the <b>Menu</b>.,
"Tap <b>Reports</b> and then
 tap <b>Executive Reports</b>.",
"Tap the <b>Create Request</b> button on the top
 right corner of the
 Executive Reports screen.",
The Create Request screen is displayed.,
"Select the <b>Time Duration</b> by choosing
 the<b> Week</b> or <b>Month</b> buttons.",
"You can also use the arrow buttons
 to select required week or month.",
"Enter a name for the report
 in the Report Name field.",
Tap Submit Request.,
"You will receive a notification
 once the report is ready.",
"The report will also be sent
 to your registered e-mail id.",
"You can also view and download
 the report on the portal.",
"<b>View and Download Executive Reports</b>
 Tap the <b>Menu</b> icon on the top-left
 corner of the dashboard screen.",
"Tap Reports and then
 tap <b>Executive Reports.</b>",
"The Executive Reports screen displays
 a list of all the requested reports.",
"Tap the <b>View and Download Report</b>
 button to view the report.",
"Tap the <b>Download</b> icon on the top right
 corner of the screen to
 download the report.",
"For more details, tap the floating
 Help icon in the bottom-right corner.",
