original_english,improved_english,dutch_translation
"Hi! In this video, let us
 look at the Events screen
 of the Driverâ€¢i App â€“
 Driver View in detail.","In this video, we will examine the Driver View within the Events screen of the Driverâ€¢i App in detail.",In deze video zullen we de Driver View binnen de sectie Gebeurtenissen van de Driverâ€¢i App nader bekijken.
The Events screen displays your most\n frequent alerts\n and DriverStars (top three),The Events screen displays your most frequent alerts and your top three DriverStars.,De sectie Gebeurtenissen toont uw meest voorkomende waarschuwingen en uw top drie DriverStars.
and enables you to view the alerts or\n DriverStars that your\n manager has shared with you.,and enables you to view the alerts or DriverStars that your manager has shared with you.,en stelt u in staat de waarschuwingen of DriverStars te bekijken die uw manager met u heeft gedeeld.
"Time Period\n On the Events screen,\n select the required duration\n from the time period drop-down.","On the Events screen, select the required duration from the Time Period drop-down.",In de sectie Gebeurtenissen selecteert u de gewenste duur uit de Drop-down Tijdsperiode.
You can also select a custom date range\n where a\n maximum of 30days can be selected.,"You can also select a custom date range, allowing a maximum selection of 30 days.","U kunt ook een aangepast datumbereik selecteren, met een maximale selectie van 30 dagen."
"Search
 Type the Alert type in the Search
 field to view all alerts of that type
 for the selected time period.","To search, type the Alert type in the Search field to view all alerts of that type for the selected time period.","Om te zoeken, typ het Waarschuwingstype in het zoekveld om alle waarschuwingen van dat type voor de geselecteerde periode te bekijken."
The Events screen displays two\n alerts and DriverStars .,The Events screen displays two alerts and DriverStars.,De sectie Gebeurtenissen toont twee waarschuwingen en DriverStars.
"The Alerts tab displays the following:
 Most frequent Alerts section displays",The Alerts tab displays the following: Most frequent Alerts section displays,Het tabblad Waarschuwingen geeft het volgende weer: De sectie Meest Voorkomende Waarschuwingen toont
the top three alerts among those that you\n have frequently generated\n in the selected duration.,the top three alerts that you have frequently generated in the selected duration.,de top drie waarschuwingen die u frequent heeft gegenereerd in de geselecteerde periode.
Tap the Information icon next to the alert\n name to view the description of the alert.,Tap the Information icon next to the alert name to view the description of the alert.,Tik op het informatiepictogram naast de naam van de waarschuwing om de beschrijving van de waarschuwing te bekijken.
<b>Shared Alerts</b> section displays the alerts\n shared with you by your Safety Manager.,<b>Shared Alerts</b> section displays the alerts shared with you by your Safety Manager.,De sectie <b>Gedeelde Waarschuwingen</b> weergeeft de waarschuwingen die met u zijn gedeeld door uw Veiligheidsmanager.
"You can narrow down your search results
 to view exactly what you want by",You can narrow down your search results to view exactly what you want by,U nan uw zoekresultaten nan bekijken precies wat u wilt door
tapping the Filters icon located next\n to Shared Alerts Filters.,tapping the Filters icon located next to Shared Alerts Filters.,"door te tikken op het pictogram Filters, naast Gedeelde Waarschuwingen Filters."
You can filter the alerts based\n on the following options:,You can filter the alerts based on the following options:,U kunt de waarschuwingen filteren op basis van de volgende opties:
"Select the All Alerts checkbox if you want
 to view all the alerts
 irrespective of the alert type.",Select the All Alerts checkbox if you want to view all the alerts irrespective of the alert type.,"Selecteer het vakje 'Alle Waarschuwingen' als u alle waarschuwingen wilt bekijken, ongeacht het waarschuwingstype."
"Otherwise, you can select the required
 checkbox beside each alert
 type to view only those alerts.","Otherwise, you can select the checkbox next to each alert type to view only those alerts.",Anders kunt u het selectievakje naast elk type waarschuwing aanvinken om alleen die waarschuwingen weer te geven.
Filter the alerts based on Risk Level\n by selecting the,Filter alerts based on Risk Level by selecting the desired option.,Filter waarschuwingen op basis van Risiconiveau door de gewenste optie te selecteren.
"Severe Alerts or Moderate Alerts\n checkboxes to view only\n the Severe or Moderate\n alerts, respectively.","Use the 'Severe Alerts' or 'Moderate Alerts' checkboxes to view only severe or moderate alerts, respectively.",Gebruik de selectievakjes 'Ernstige Waarschuwingen' of 'Gemiddelde waarschuwingen' om respectievelijk alleen ernstige of gemiddelde waarschuwingen weer te geven.
Filter alerts based on video availability\n by selecting the following checkboxes.,Filter alerts based on video availability by selecting the following checkboxes.,Filter waarschuwingen op basis van videobeschikbaarheid door de onderstaande selectievakjes aan te vinken.
Video Available Indicates that the video\n has been received from the device\n and is available for viewing.,Video Available: Indicates that the video has been received from the device and is available for viewing.,Video Beschikbaar: Geeft aan dat de video is ontvangen van het apparaat en beschikbaar is om te bekijken.
Video Requested Indicates that the video\n is not available at present to be viewed\n and has been requested from the device.,Video Requested indicates that the video is not currently available for viewing and has been requested from the device.,Video aangevraagd geeft aan dat de video momenteel niet beschikbaar is om te bekijken en is aangevraagd bij het apparaat.
"Once you raise the request,
 the video is processed and made
 available for you to view.","Once you raise the request, the video is processed and made available for you to view.","Zodra u het verzoek indient, wordt de video verwerkt en beschikbaar gesteld om te bekijken."
"Video on Request indicates that the video
 is not available and not yet requested.",Video on Request indicates that the video is not available and not yet requested.,Video op aanvraag geeft aan dat de video niet beschikbaar is en nog niet is aangevraagd.
You can request it if required.,It can be requested if required.,Het kan indien nodig worden aangevraagd.
Video Unavailable Indicates that the video\n is no longer available\n and cannot be requested.,Video Unavailable: Indicates that the video is no longer available and cannot be requested.,Video Niet Beschikbaar: Geeft aan dat de video niet langer beschikbaar is en niet kan worden opgevraagd.
"Show Only select the options to see only
 bookmarked alerts or not viewed alerts.",Select options to display only bookmarked or unviewed alerts.,Selecteer opties om alleen gebladwijzerde waarschuwingen of niet-bekeken waarschuwingen weer te geven.
Sort by Date Toggle the ascending or\n descending buttons to sort\n the alerts by date as required.,Sort by Date: Toggle the ascending or descending buttons to sort the alerts by date as required.,Sorteren op datum: Schakel de oplopende of aflopende knoppen in om de waarschuwingen op datum te sorteren zoals vereist.
The DriverStars tab displays the\n Most frequent DriverStars section,The DriverStars tab displays the 'Most Frequent DriverStars' section.,Het tabblad DriverStars toont de sectie 'Meest Frequente DriverStars'.
displays the top three driver stars\n that were awarded to you\n in the selected duration.,Displays the top three driver stars awarded to you for the selected duration.,Toont de top drie bestuurderssterren die u zijn toegekend voor de geselecteerde periode.
"Shared Driver Stars section displays
 the driver stars shared
 with you by your Safety manager.",The 'Shared Driver Stars' section displays the driver stars shared with you by your Safety Manager.,De sectie 'Gedeelde Bestuurderssterren' toont de bestuurderssterren die uw Veiligheidsmanager met u heeft gedeeld.
"You can narrow down your search results
 to view exactly what you want by tapping
 the Filters icon located next
 to Shared Driver Stars Filters.","You can narrow down your search results to view exactly what you want by tapping the Filters icon, which is located next to the Shared Driver Stars Filters.","U kunt uw zoekresultaten verfijnen om precies te zien wat u wilt, door op het Filters-pictogram te tikken dat zich naast de Gedeelde Bestuurder Sterren Filters bevindt."
You can filter the alerts based\n on the following:,You can filter the alerts based on the following:,U kunt de waarschuwingen filteren op basis van het volgende:
Filter Alerts based on video availability\n by selecting the Following Video Available,Filter alerts based on video availability by selecting 'Video Available'.,Filter waarschuwingen op basis van videobeschikbaarheid door 'Video Beschikbaar' te selecteren.
"Video Requested Video
 on Request Video Unavailable",Video Requested Video on Request Video Unavailable,Videoaanvragen Video Aanvragen Niet beschikbaar
Show Only select the options to see only\n bookmarked alerts or or not viewed alerts.,Select the options to show only bookmarked alerts or unviewed alerts.,Selecteer de opties om alleen gebladwijzerde waarschuwingen of niet-bekeken waarschuwingen weer te geven.
Sort by date Toggle the ascending or\n descending buttons to sort\n the DRiverStars by date as required.,Sort by Date: Toggle the ascending or descending buttons to sort the DriverStars by date as required.,Sorteren op datum: Gebruik de knoppen voor oplopende of aflopende volgorde om de DriverStars op datum te sorteren zoals vereist.
"For more details, tap the floating
 Help icon to view the help content.","For more details, tap the floating Help icon to view the help content.","Voor meer details, tik op het zwevende Help-pictogram om de helpinhoud te bekijken."
"Hi in this video, let us look at the coaching screen of the Driverâ€¢i app Safety Manager View in detail","In this video, we will look in detail at the coaching screen within the Safety Manager View of the Driverâ€¢i app.",In deze video bekijken we gedetailleerd het coachingsscherm binnen de Veiligheidsmanager Weergave van de Driverâ€¢i app.
Coaching is an integral part\n in maintaining and promoting\n safe driving behavior in drivers.,Coaching is an integral part of maintaining and promoting safe driving behavior among drivers.,Coaching is een integraal onderdeel van het handhaven en bevorderen van veilig rijgedrag onder bestuurders.
"When coaching sessions are conducted\n at regular intervals, drivers show\n improved safe driving performance.","When coaching sessions are conducted at regular intervals, drivers show improved safe driving performance.","Wanneer coachingsessies met regelmatige tussenpozen worden gehouden, tonen bestuurders verbeterde veilige rijprestaties."
The Coaching screen of the Driverâ€¢i app\n provides detailed information about,The Coaching screen of the Driverâ€¢i app provides detailed information about,Het Coachingsscherm van de Driverâ€¢i-app biedt gedetailleerde informatie over
"the pending and completed coaching
 sessions of drivers in the fleet.",the pending and completed coaching sessions for drivers in the fleet.,de openstaande en voltooide coachingsessies voor bestuurders in het wagenpark.
Tap the search icon on the top right\n corner of the screen and type the required,Tap the search icon on the top right corner of the screen and type the required search term.,Tik op het zoekpictogram rechtsboven in het scherm en typ de gewenste zoekterm.
keywords such as Session ID or driver name\n to search for the required\n coaching session.,Use keywords such as Session ID or driver name to search for the required coaching session.,Gebruik trefwoorden zoals sessie-id of naam van de bestuurder om de vereiste coachingsessie te zoeken.
The Pending tab displays the coaching\n sessions that are yet to be\n completed by the driver.,The Pending tab displays the coaching sessions that have yet to be completed by the driver.,Het Tabblad In afwachting van toont de coachingsessies die nog door de bestuurder moeten worden voltooid.
"The completed tab displays all the
 completed coaching sessions by the driver.",The Completed Tab displays all completed coaching sessions by the driver.,Het Tabblad Voltooid weergeeft alle voltooide coachingsessies van de bestuurder.
"The Coaching Sessions card displays\n the session id,",The Coaching Sessions card displays the session ID.,De Coachingsessies-kaart toont de sessie-id.
"total number of alerts,\n name of the driver, the date and time when","the total number of alerts, the name of the driver, and the date and time when the alert occurred.","het totaal aantal waarschuwingen, de naam van de bestuurder, en de datum en tijd waarop de waarschuwing plaatsvond."
"the session was created, and the most
 frequent alerts generated by the driver.","The session was created, detailing the most frequent alerts generated by the driver.","De sessie werd aangemaakt, met een overzicht van de meest voorkomende waarschuwingen gegenereerd door de bestuurder."
Coaching Session Details\n Tap the green arrow on the card to view,Tap the green arrow on the card to view the coaching session details.,Tik op de groene pijl op de kaart om de coachingssessiegegevens te bekijken.
details of the coaching session.,details of the coaching session.,details van de coachingsessie.
"This screen displays the number of alerts,","This screen displays the number of alerts,","Dit scherm toont het aantal waarschuwingen,"
"DriverStars, Notifications, Recognitions,","DriverStars, Notifications, Recognitions,","DriverStars, Meldingen, Erkenningen,"
"and frequent alerts generated by the
 driver since the last coaching session.",and frequent alerts generated by the driver since the last coaching session.,en frequente waarschuwingen gegenereerd door de bestuurder sinds de laatste coachingsessie.
"Bookmarked Events Displays the important
 events that you have bookmarked for future",Bookmarked Events: Displays the important events that you have bookmarked for future reference.,Evenementen met bladwijzers: Toont de belangrijke evenementen die u hebt voorzien van een bladwijzer voor toekomstige referentie.
"reference
 Events added to Coaching Displays all",Reference Events added to all Coaching Displays.,Referentie-evenementen toegevoegd aan alle Coachingdisplays.
"the alerts added to a coaching session
 session Discussion Allows you to add any",the alerts added to a coaching session session Discussion Allows you to add any,De Waarschuwingen toegevoegd aan een coachingsessie Sessiebespreking Stelt u in staat om alles toe te voegen
comments or remarks from the discussion\n you had with the driver\n during the coaching session.,Comments or remarks from the discussion you had with the driver during the coaching session.,Opmerkingen of commentaar van de discussie die u had met de bestuurder tijdens de coaching nan.
"Add Conclusion Notes Allows you to add\n closing notes after the coaching session is completed,",Add Conclusion Notes: Allows you to add closing notes after the coaching session is completed.,Afsluitende Opmerkingen Toevoegen: Hiermee kunt u afsluitende opmerkingen toevoegen nadat de coachingsessie is voltooid.
you must first select one\n of the reasons from the drop down list.,You must first select one of the reasons from the dropdown list.,U moet eerst één van de redenen uit de vervolgkeuzelijst selecteren.
"Select adjustments made to route if
 the driver's route is changed or updated",Select adjustments made to route if the driver's route is changed or updated,Selecteer aanpassingen gedaan nan route als de bestuurder's route is gewijzigd of bijgewerkt
"based on any challenges
 that the driver may be facing.",based on any challenges that the driver may be facing.,gebaseerd op eventuele uitdagingen die de bestuurder ondervindt.
"Select Driver Assigned Training if
 the driver drivers enrolled for some specific training program,'",Select Driver Assigned Training if the driver is enrolled in a specific training program.,Selecteer Toegewezen Bestuurderstraining als de bestuurder is ingeschreven voor een specifiek trainingsprogramma.
"Select Coaching Completed if the driver completed the coaching session,","Select Coaching Completed if the driver completed the coaching session,","Selecteer Coaching Voltooid indien de bestuurder de coachingsessie heeft voltooid,"
the Mark as Complete button must be tapped\n after the coaching session is complete.,The 'Mark as Complete' button must be tapped after the coaching session is complete.,De 'Markeren als voltooid'-knop moet worden getikt nadat de coaching nan is voltooid.
"Coaching Session Configurations
 Tap the settings icon on the top right","Coaching Session Configurations
Tap the settings icon on the top right","Configuratie Coachingsessie
Tik op het instellingenpictogram rechtsboven"
"corner to display the Coaching
 session configuration screen.",corner to display the Coaching session configuration screen.,hoek om het configuratiescherm van de Coaching session weer te geven.
You can configure the coaching sessions\n based on the following,You can configure the coaching sessions based on the following.,U kunt de coachingsessies configureren op basis van het volgende.
Select All Drivers or All Drivers Except,Select All Drivers or All Drivers Except,Selecteer Alle Bestuurders of Alle Bestuurders Behalve
or Only These Drivers to create automated,or Only These Drivers to create automated,of Alleen deze bestuurders nan creëren geautomatiseerde
coaching sessions for drivers as required.,Coaching sessions for drivers as required.,Coachingsessies voor bestuurders indien nodig.
"Select the required alert types depending
 on the risk level to create automated",Select the required alert types depending on the risk level to create automated alerts.,Selecteer de vereiste waarschuwingstypen afhankelijk van het risiconiveau om geautomatiseerde waarschuwingen te creëren.
coaching sessions only\n for the selected alert type.,Coaching sessions are only for the selected alert type.,Coachingsessies zijn uitsluitend voor het geselecteerde waarschuwingstype.
"After making the required
 selections, tap <b>Save</b> to save
 the changes made for configuration.","After making the required selections, tap <b>Save</b> to save the changes made for configuration.","Nadat de vereiste selecties zijn gemaakt, tikt u op <b>Opslaan</b> nan de aangebrachte wijzigingen voor de configuratie op te slaan."
Tap the floating <b>Help</b> icon on the\n bottom-right corner of the\n screen to view the Help content.,Tap the floating <b>Help</b> icon on the bottom-right corner of the screen to view the Help content.,Tik op het zwevende <b>Help</b>-pictogram rechtsonder in het scherm om de Help-inhoud te bekijken.
"Hi! Let us see how safety managers can
 provide feedback on the Driverâ€¢i app.",Let's explore how safety managers can provide feedback on the Driverâ€¢i app.,Laten we eens kijken hoe veiligheidsmanagers feedback kunnen geven op het Driverâ€¢i.
"User feedback provides valuable insights
 that show areas
 of improvement in the product.","User feedback provides valuable insights, highlighting areas for product improvement.","nan biedt waardevolle inzichten, die gebieden voor productverbetering benadrukken."
This can help improve user experience.,This can help improve user experience.,Dit kan helpen de gebruikerservaring te verbeteren.
You can suggest an improvement or report\n an issue by selecting a feature\n from the predefined Features list.,You can suggest an improvement or report an issue by selecting a feature from the predefined Features list.,U kunt een verbetering voorstellen of een probleem melden door een functie te selecteren uit de lijst met vooraf gedefinieerde functies.
"To provide feedback on the app,
 tap the menu icon on the top
 left corner of the screen.","To provide feedback on the app, tap the menupictogram in the top left corner of the screen.","Om feedback te geven over de app, tik op het menupictogram in de linkerbovenhoek van het scherm."
Tap Feedback.,Tap Feedback.,Tik op Feedback.
The feedback screen is displayed.,The feedback screen is displayed.,Het feedbackscherm wordt weergegeven.
"Tap check FAQs to check if your issue was
 already reported",Tap FAQs to check if your issue has already been reported.,Tik op FAQ's nan controleren of uw probleem al gemeld is.
and a solution was proposed.,and a solution was proposed.,en een oplossing werd voorgesteld.
Select one of the following options.,Select one of the following options.,Selecteer één van de volgende opties.
"To provide feedback,
 tap Suggest an improvement and select
 a feature from the drop down list.","To provide feedback, tap 'Suggest an improvement' and select a feature from the drop-down list.","Om Feedback te geven, tik op 'Een verbetering voorstellen' en selecteer een functie uit de vervolgkeuzelijst."
"To provide suggestions on the specific\n area,","To provide suggestions on the specific area,","Om suggesties te geven over het specifieke gebied,"
tap Report a bug and select\n a feature from the drop down list.,Tap 'Report a Bug' and select a feature from the dropdown list.,Tik op 'Een Bug Melden' en selecteer een functie uit de vervolgkeuzelijst.
"To report a fault or error,","To report a fault or error,","nan een storing of fout melden,"
"tap Attach an image to upload an image if\n needed,",Tap 'Attach an image' to upload an image if needed.,"Tik op 'Afbeelding bijvoegen' om een afbeelding te uploaden, indien nodig."
"add detailed information\n in the Add Notes box, tap Submit Feedback.","Add detailed information in the Add Notes box, then tap Submit Feedback.",Voeg gedetailleerde informatie toe in het vak 'opmerkingen toevoegen' en tik vervolgens op 'Feedback Indienen'.
The feedback is submitted.,The feedback has been submitted.,De feedback is ingediend.
It will be reviewed by the netradyne team\n to ensure that the appropriate\n action is taken.,It will be reviewed by the Netradyne team to ensure that appropriate action is taken.,Het zal worden beoordeeld door het Netradyne-team om ervoor te zorgen dat de juiste actie wordt ondernomen.
"For more details, tap the floating\n Help icon in the bottom right corner.","For more details, tap the floating Help icon in the bottom right corner.","Voor meer details, tik op het zwevende Help-pictogram in de rechterbenedenhoek."
Hi! In this video let us discuss\n how the Driverâ€¢i device works?,"In this video, we will discuss how the Driverâ€¢i device works.",In deze video bespreken we hoe het Driverâ€¢i-apparaat werkt.
Driverâ€¢i devices are dashboard cameras\n that use the latest technologies,Driverâ€¢i devices are dashboard cameras that use the latest technologies.,Driverâ€¢i-apparaten zijn dashboardcamera's die gebruikmaken van de nieuwste technologieën.
"in artificial intelligence,
 machine learning and edge computing","in artificial intelligence, machine learning and edge computing","in kunstmatige intelligentie, machinaal leren en randcomputing"
for identification and analysis\n to determine the cause of events,for identification and analysis to determine the cause of events,voor identificatie en analyse om de oorzaak van gebeurtenissen te bepalen.
"that occur with drivers
 during their drive time.",that occur with drivers during their driving time.,die zich voordoen bij bestuurders tijdens hun rijtijd.
"The software analyzes the recorded events
 and generates Alerts, DriverStars,
 and Neutral Events as needed.","The software analyzes the recorded events and generates Alerts, DriverStars, and Neutral Events as needed.","De software analyseert de geregistreerde gebeurtenissen en genereert Waarschuwingen, DriverStars en Neutrale Gebeurtenissen indien nodig."
The following steps provide a high\n level workflow of the Driver.i Device.,The following steps provide a high-level workflow of the Driver.i Device.,De volgende stappen bieden een globale workflow van het Driverâ€¢i-Apparaat.
The device captures every driving minute\n of video and sensory data and\n stores it as observations.,The device captures every driving minute of video and sensory data and stores it as observations.,Het apparaat legt elke rijminuut aan video- en sensorgegevens vast en slaat deze op als waarnemingen.
"While processing the observation
 data, events are classified based","While processing the observation data, events are classified based",Tijdens het verwerken van de observatiegegevens worden gebeurtenissen geclassificeerd gebaseerd
"on the Netradyne Proprietary
 artificial Intelligence Algorithms.",Based on Netradyne's proprietary Artificial Intelligence algorithms.,Gebaseerd op de eigen kunstmatige intelligentie-algoritmen van Netradyne.
Further validations are performed\n on the Events and they are displayed\n on the web portal as alert cards.,"Further validations are performed on the events, which are then displayed on the web portal as alert cards.","Verdere validaties worden uitgevoerd op de gebeurtenissen, die vervolgens op het webportaal worden weergegeven als waarschuwingskaarten."
The working principle of Driverâ€¢i is based\n on the following steps:,The working principle of Driverâ€¢i is based on the following steps:,Het werkingsprincipe van Driverâ€¢i is gebaseerd op de volgende stappen:
"Collecting data,
 interpreting it and acting on it through
 three different sections:","Collecting data, interpreting it, and acting on it through three different sections:","Gegevens verzamelen, deze interpreteren en ernaar handelen via drie verschillende secties:"
Vision based and inertial data collection\n system consisting of cameras and sensors,A vision-based and inertial data collection system consisting of cameras and sensors.,"Een visiegebaseerd en inertieel gegevensverzamelsysteem, bestaande uit camera's en sensoren."
Data analytics system using Artificial,Data analytics system using Artificial Intelligence,Data-analysesysteem dat gebruikmaakt van Kunstmatige Intelligentie
Intelligence and Machine Learning.,Intelligence and Machine Learning.,Intelligentie en Machine Learning.
Assistance to drivers by generating\n alerts and,Assisting drivers by generating alerts and,Ondersteuning van bestuurders door het genereren van waarschuwingen en
"recognizing drivers based on positive
 driving events.",Recognizing drivers based on positive driving events.,Het herkennen van bestuurders op basis van positieve rijgebeurtenissen.
"A safety manager will have access to every
 driving minute captured
 by the Driverâ€¢i device.",A safety manager will have access to every driving minute captured by the Driverâ€¢i device.,Een Veiligheidsmanager zal toegang hebben tot elke rijdende minuut vastgelegd door het Driverâ€¢i-apparaat.
"They can review the driver's driving
 performances and if needed,","They can review the driver's driving performance and, if necessary,","Zij kunnen de rijprestaties van de bestuurder beoordelen en, indien nodig,"
"share the alerts with the driver
 as part of their coaching program.",Share the alerts with the driver as part of their coaching program.,De waarschuwingen delen met de bestuurder als onderdeel van hun coachingprogramma.
"Driverâ€¢i appreciates good driving behavior
 by awarding DriverStars to the driver.",Driverâ€¢i appreciates good driving behavior by awarding DriverStars to the driver.,Driverâ€¢i waardeert goed rijgedrag door DriverStars toe te kennen aan de bestuurder.
"When Driverâ€¢i identifies that an action
 performed by the driver resulted",When Driverâ€¢i identifies that an action performed by the driver resulted,Wanneer Driverâ€¢i identificeert dat een actie uitgevoerd door de bestuurder resulteerde
"in avoiding a potential incident,\n a DriverStar is awarded to the driver.",A DriverStar is awarded to the driver for avoiding a potential incident.,Een DriverStar wordt toegekend aan de bestuurder voor het vermijden van een potentieel incident.
"This encourages drivers to follow safe
 driving practices and helps
 enhance fleet safety.",This encourages drivers to follow safe driving practices and helps enhance fleet safety.,Dit moedigt bestuurders aan om veilige rijpraktijken te volgen en helpt de wagenparkveiligheid te verbeteren.
The Driverâ€¢i device generates real time\n alerts for driving events and shares,The Driverâ€¢i device generates real-time alerts for driving events and shares them.,Het Driverâ€¢i-apparaat genereert realtime waarschuwingen voor rijgebeurtenissen en deelt deze.
"notifications using both
 Driverâ€¢i app and Driverâ€¢i portal.",Notifications are managed using both the Driverâ€¢i app and the Driverâ€¢i portal.,Meldingen worden beheerd via zowel de Driverâ€¢i app als de Driverâ€¢i portal.
The system detects risky events\n and advises coaching sessions\n for drivers for continuous improvement.,The system detects risky events and advises coaching sessions for drivers for continuous improvement.,Het systeem detecteert gevaarlijke gebeurtenissen en adviseert coachingsessies voor bestuurders voor continue verbetering.
"Drivers receive GreenZone Score on daily,
 weekly and monthly basis between 1","Drivers receive GreenZone Score on daily, weekly and monthly basis between 1",Bestuurders ontvangen GreenZone-Score wekelijks en maandelijks tussen 1
"and 1000, tabulated based on their
 driving habits and behaviors.","and 1000, tabulated based on their driving habits and behaviors.","en 1000, getabelleerd op basis van hun rijgewoonten en gedrag."
Event Access gives access to 100\n hours of stored videos anytime.,Event Access provides access to 100 hours of stored videos at any time.,Gebeurtenistoegang biedt altijd toegang tot 100 uur aan opgeslagen video's.
"For more details, tap the floating
 help icon to view the help content.","For more details, tap the floating help icon to view the help content.","Voor meer informatie, tik op het zwevende help-icoon om de helpinhoud te raadplegen."
"Hi! In this video we will discuss about
 the benefits and features","Hi! In this nan, we will discuss the benefits and features.",Hallo! In deze nan zullen we de voordelen en kenmerken bespreken.
"of the Driverâ€¢i App,
 which will allow safety managers to view","of the Driverâ€¢i App, which will allow safety managers to view","van het Driverâ€¢i App, waardoor veiligheidsmanagers kunnen bekijken"
and manage the performance\n of their fleet and drivers.,and manage the performance of their fleet and drivers.,en de prestaties van hun wagenpark en bestuurders beheren.
"Driverâ€¢i App helps manage
 the fleet and drivers effectively.",Driverâ€¢i App helps manage the fleet and drivers effectively.,De Driverâ€¢i App helpt het wagenpark en de bestuurders effectief te beheren.
It can be accessed from anywhere.,It can be accessed from anywhere.,Het is overal toegankelijk.
"Safety managers can view the details
 of fleet performance,
 drivers, coaching sessions, GreenZone
 statistics and requested videos.","Safety managers can view the details of fleet performance, drivers, coaching sessions, GreenZone statistics, and requested videos.","Veiligheidsmanagers kunnen de details inzien van wagenparkprestaties, bestuurders, coachingsessies, GreenZone-statistieken en aangevraagde video's."
You can download the app\n from Google Play Store or,You can download the app from the Google Play Store or,U kunt de app downloaden uit de Google Play Store of
"the Apple App Store based
 on the type of phone you are using.","the Apple App Store, based on the type of phone you are using.","de Apple App Store, gebaseerd op het type telefoon dat u gebruikt."
Driverâ€¢i app provides the following,The Driverâ€¢i app provides the following:,De Driverâ€¢i-app biedt het volgende:
"Performance Visibility,\n Real Time Access,","Performance Visibility, Real-Time Access","Inzicht in prestaties, Realtime toegang"
"Coaching,
 Gamification,
 Drive Time Assignment.","Coaching, Gamification, Drive Time Assignment.","Coaching, Gamificatie, Rijtijdtoewijzing."
Let's explore the various\n sections of the app in detail.,Let's explore the various sections of the app in detail.,Laten we de verschillende secties van de app in detail verkennen.
Dashboard- This screen displays the fleet's\n driving performance based on the alerts,"The Dashboard screen displays the fleet's driving performance, based on the alerts.","Het Dashboard-scherm toont de rijprestaties van het wagenpark, gebaseerd op de waarschuwingen."
"and DriverStars generated
 by all the drivers.",and DriverStars generated by all drivers.,en DriverStars gegenereerd door alle bestuurders.
The following information is displayed\n on the dashboard,The following information is displayed on the dashboard,De volgende informatie wordt weergegeven op het dashboard.
"Fleet Average Green Zone Score,
 Notification and Recognition,
 Drivers with highest and lowest score","Fleet Average Green Zone Score, Notification and Recognition, Drivers with highest and lowest score","Wagenparkgemiddelde Groene Zone Score, Melding en Erkenning, bestuurders met de hoogste en laagste score"
"Most frequent alerts,
 Severe and moderate alerts
 DriverStars Events.","The most frequent alerts, including severe and moderate alerts, and DriverStar events.","De meest voorkomende waarschuwingen, waaronder ernstige en gemiddelde waarschuwingen, en DriverStar-gebeurtenissen."
This screen displays\n detailed information about the number\n of alerts generated by the drivers under,This screen displays detailed information about the number of alerts generated by the drivers.,Dit scherm toont gedetailleerde informatie over het aantal waarschuwingen gegenereerd door de bestuurders.
each alert type and the number\n of driver stars awarded.,each alert type and the number of driver stars awarded.,elk waarschuwingstype en het aantal toegekende bestuurderssterren.
Alerts can be viewed\n in Smart View or Expanded view.,Alerts can be viewed in Smart View or Expanded view.,Waarschuwingen kunnen worden bekeken in Smart View of Uitgebreide weergave.
"Drivers
 this screen displays information about",This screen displays information about drivers.,Dit scherm toont informatie over bestuurders.
"your drivers and the number
 of alerts generated by each driver.",your drivers and the number of alerts generated by each driver.,uw bestuurders en het aantal waarschuwingen gegenereerd door elke bestuurder.
"The list is categorized based\n on GreenZone score, Green minutes",The list is categorized based on the GreenZone score and Green minutes.,De lijst is gecategoriseerd op basis van de GreenZone-Score en Green nan.
percent and overspeeding percent.,Percentage and overspeeding percentage.,Percentage en oversnelheidspercentage.
"Event Access
 this screen displays the list of videos",Event Access: This screen displays the list of videos.,Gebeurtenistoegang: Dit scherm toont de lijst met video's.
that you have requested manually\n for a selected time period.,which you have manually requested for a selected time period.,die u handmatig hebt aangevraagd voor een geselecteerde periode.
"You can create a new video request for any
 vehicle based on time period and video",You can create a new video request for any vehicle based on time period and video,U kunt een nieuwe videoaanvraag aanmaken voor elk voertuig op basis van een tijdsperiode en video.
availability for all the active vehicles\n that are associated with the devices.,Availability for all active vehicles associated with the devices.,Beschikbaarheid voor alle actieve voertuigen gekoppeld aan de apparaten.
Coaching this screen displays the pending\n and completed coaching sessions,This screen displays pending and completed coaching sessions.,Dit scherm toont lopende en voltooide coachingsessies.
for your drivers in the Driverâ€¢i app.,for your drivers in the Driverâ€¢i app.,voor uw bestuurders in het Driverâ€¢i app.
"You can add alerts to a driver's coaching
 session either manually from an alert card",You can add alerts to a driver's coaching session either manually from an Alert Card.,U kunt waarschuwingen handmatig toevoegen aan de coachingsessie van een bestuurder vanaf een Waarschuwingskaart.
or automatically by configuring\n the coaching session.,or automatically by configuring the coaching session.,of automatisch door het configureren van de coachingsessie.
"GreenZone this screen displays
 driver score versus time graphically.",This GreenZone screen graphically displays the Driver Score versus time.,Dit GreenZone-scherm geeft de Driver Score grafisch weer ten opzichte van de tijd.
"By default, the chart displays the fleet\n Average and top four driver scores.","By default, the chart displays the fleet average and the top four Driver Scores.",Standaard toont de grafiek het wagenparkgemiddelde en de vier beste Driver Scores.
"The names of the plotted drivers
 are listed below the graph.",The names of the plotted drivers are listed below the graph.,De namen van de geplotte bestuurders staan onder de grafiek vermeld.
